,,,,,"B-15  NON-WORKERS BY MAIN ACTIVITY, EDUCATIONAL LEVEL AND SEX",,,,,,,,,,,,,,,,,,,,,,,,
Table,State,District,Area,Total/,Educational,Non-workers,,,Main activity,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,Name,Rural/,level,,,,Students,,,Household duties,,,Dependents,,,Pensioners,,,Rentiers,,,"Beggars, Vagrants etc.",,,Others,,
,,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0
B0515,24,000,State - GUJARAT,Rural,Technical degree or diploma equal to degree or post-graduate degree,48643.0,27570.0,21073.0,25219.0,17681.0,7538.0,9226.0,359.0,8867.0,1498.0,1039.0,459.0,3910.0,3508.0,402.0,13.0,9.0,4.0,2.0,2.0,0.0,8775.0,4972.0,3803.0
B0515,24,000,State - GUJARAT,Urban,Total,16547428.0,5862771.0,10684657.0,6042128.0,3367533.0,2674595.0,5977102.0,140938.0,5836164.0,3692359.0,1827494.0,1864865.0,270047.0,193767.0,76280.0,16886.0,9250.0,7636.0,8962.0,5803.0,3159.0,539944.0,317986.0,221958.0
B0515,24,000,State - GUJARAT,Urban,Illiterate,4934735.0,1910659.0,3024076.0,804663.0,439096.0,365567.0,1207008.0,37538.0,1169470.0,2814656.0,1385565.0,1429091.0,20298.0,7375.0,12923.0,4462.0,1635.0,2827.0,6654.0,4073.0,2581.0,76994.0,35377.0,41617.0
B0515,24,000,State - GUJARAT,Urban,Literate,11612693.0,3952112.0,7660581.0,5237465.0,2928437.0,2309028.0,4770094.0,103400.0,4666694.0,877703.0,441929.0,435774.0,249749.0,186392.0,63357.0,12424.0,7615.0,4809.0,2308.0,1730.0,578.0,462950.0,282609.0,180341.0
B0515,24,000,State - GUJARAT,Urban,Literate but below matric/secondary,6781692.0,2505820.0,4275872.0,3643786.0,2026218.0,1617568.0,2319899.0,52484.0,2267415.0,560028.0,268038.0,291990.0,59720.0,39382.0,20338.0,6514.0,3672.0,2842.0,1527.0,1169.0,358.0,190218.0,114857.0,75361.0
B0515,24,000,State - GUJARAT,Urban,Matric/secondary but below graduate,2992937.0,948055.0,2044882.0,1204482.0,676622.0,527860.0,1416962.0,28676.0,1388286.0,160563.0,92528.0,68035.0,75798.0,61679.0,14119.0,3298.0,2215.0,1083.0,296.0,226.0,70.0,131538.0,86109.0,45429.0
B0515,24,000,State - GUJARAT,Urban,Technical diploma or certificate not equal to degree,127421.0,63802.0,63619.0,53511.0,36330.0,17181.0,29426.0,919.0,28507.0,7645.0,4919.0,2726.0,24650.0,13642.0,11008.0,216.0,177.0,39.0,6.0,5.0,1.0,11967.0,7810.0,4157.0
B0515,24,000,State - GUJARAT,Urban,Graduate and above other than technical degree,940629.0,206885.0,733744.0,171448.0,85706.0,85742.0,593144.0,10751.0,582393.0,44626.0,25939.0,18687.0,56964.0,47363.0,9601.0,1214.0,840.0,374.0,64.0,43.0,21.0,73169.0,36243.0,36926.0
B0515,24,000,State - GUJARAT,Urban,Technical degree or diploma equal to degree or post-graduate degree,176658.0,92153.0,84505.0,84303.0,56274.0,28029.0,45128.0,1629.0,43499.0,8600.0,6209.0,2391.0,18941.0,15201.0,3740.0,249.0,214.0,35.0,9.0,5.0,4.0,19428.0,12621.0,6807.0
B0515,24,468,District - Kachchh,Total,Total,1316143.0,472033.0,844110.0,448542.0,250208.0,198334.0,425370.0,7277.0,418093.0,398001.0,191607.0,206394.0,9354.0,6375.0,2979.0,1229.0,707.0,522.0,334.0,227.0,107.0,33313.0,15632.0,17681.0
B0515,24,468,District - Kachchh,Total,Illiterate,612423.0,209441.0,402982.0,72427.0,38010.0,34417.0,180454.0,3051.0,177403.0,347713.0,164468.0,183245.0,1416.0,488.0,928.0,543.0,210.0,333.0,264.0,174.0,90.0,9606.0,3040.0,6566.0
B0515,24,468,District - Kachchh,Total,Literate,703720.0,262592.0,441128.0,376115.0,212198.0,163917.0,244916.0,4226.0,240690.0,50288.0,27139.0,23149.0,7938.0,5887.0,2051.0,686.0,497.0,189.0,70.0,53.0,17.0,23707.0,12592.0,11115.0
B0515,24,468,District - Kachchh,Total,Literate but below matric/secondary,540670.0,213611.0,327059.0,319742.0,178891.0,140851.0,163176.0,2984.0,160192.0,40463.0,21839.0,18624.0,2836.0,2037.0,799.0,483.0,349.0,134.0,50.0,37.0,13.0,13920.0,7474.0,6446.0
