State  Code	District Code	Sub District Code	India/ State/ Union Territory/ District/ Sub-district	Name	"Total/Rural/Urban"	Number of villages Inhabited	Uninhabited	Number of towns	Number of households	Population Persons	Males	Females	"Area(In sq. km)"	Population per sq. km.
28	552	05272	SUB-DISTRICT	Holagunda	Rural	20	0	0	9,398	50,592	25,533	25,059	338.98	149
28	552	05272	SUB-DISTRICT	Holagunda	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05273	SUB-DISTRICT	Halaharvi	Total	24	0	0	7,582	41,123	20,910	20,213	276.06	149
28	552	05273	SUB-DISTRICT	Halaharvi	Rural	24	0	0	7,582	41,123	20,910	20,213	276.06	149
28	552	05273	SUB-DISTRICT	Halaharvi	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05274	SUB-DISTRICT	Alur	Total	18	0	0	10,278	55,834	28,568	27,266	356.08	157
28	552	05274	SUB-DISTRICT	Alur	Rural	18	0	0	10,278	55,834	28,568	27,266	356.08	157
28	552	05274	SUB-DISTRICT	Alur	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05275	SUB-DISTRICT	Aspari	Total	20	0	0	12,422	65,088	33,035	32,053	421.29	154
28	552	05275	SUB-DISTRICT	Aspari	Rural	20	0	0	12,422	65,088	33,035	32,053	421.29	154
28	552	05275	SUB-DISTRICT	Aspari	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05276	SUB-DISTRICT	Devanakonda	Total	14	1	0	14,187	71,237	36,374	34,863	479.58	149
28	552	05276	SUB-DISTRICT	Devanakonda	Rural	14	1	0	14,187	71,237	36,374	34,863	479.58	149
28	552	05276	SUB-DISTRICT	Devanakonda	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05277	SUB-DISTRICT	Krishnagiri	Total	15	0	0	9,780	47,103	23,733	23,370	375.96	125
28	552	05277	SUB-DISTRICT	Krishnagiri	Rural	15	0	0	9,780	47,103	23,733	23,370	375.96	125
28	552	05277	SUB-DISTRICT	Krishnagiri	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05278	SUB-DISTRICT	Veldurthi	Total	16	0	0	13,895	63,120	31,929	31,191	324.32	195
28	552	05278	SUB-DISTRICT	Veldurthi	Rural	16	0	0	13,895	63,120	31,929	31,191	324.32	195
28	552	05278	SUB-DISTRICT	Veldurthi	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05279	SUB-DISTRICT	Bethamcherla	Total	10	0	1	20,828	88,726	44,426	44,300	359.51	247
28	552	05279	SUB-DISTRICT	Bethamcherla	Rural	10	0	0	11,887	49,732	25,002	24,730	333.76	149
28	552	05279	SUB-DISTRICT	Bethamcherla	Urban	0	0	1	8,941	38,994	19,424	19,570	25.75	1,514
28	552	05280	SUB-DISTRICT	Panyam	Total	18	0	0	11,332	51,426	25,619	25,807	385.09	134
28	552	05280	SUB-DISTRICT	Panyam	Rural	18	0	0	11,332	51,426	25,619	25,807	385.09	134
28	552	05280	SUB-DISTRICT	Panyam	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05281	SUB-DISTRICT	Gadivemula	Total	14	0	0	9,947	42,810	21,667	21,143	323.71	132
28	552	05281	SUB-DISTRICT	Gadivemula	Rural	14	0	0	9,947	42,810	21,667	21,143	323.71	132
28	552	05281	SUB-DISTRICT	Gadivemula	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05282	SUB-DISTRICT	Velgode	Total	7	1	0	11,326	47,850	24,223	23,627	357.59	134
28	552	05282	SUB-DISTRICT	Velgode	Rural	7	1	0	11,326	47,850	24,223	23,627	357.59	134
28	552	05282	SUB-DISTRICT	Velgode	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05283	SUB-DISTRICT	Bandi Atmakur	Total	15	0	0	12,187	48,592	24,379	24,213	528.57	92
28	552	05283	SUB-DISTRICT	Bandi Atmakur	Rural	15	0	0	12,187	48,592	24,379	24,213	528.57	92
28	552	05283	SUB-DISTRICT	Bandi Atmakur	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05284	SUB-DISTRICT	Nandyal	Total	17	0	1	60,998	2,69,368	1,35,267	1,34,101	221.54	1,216
28	552	05284	SUB-DISTRICT	Nandyal	Rural	17	0	0	13,854	57,944	29,441	28,503	192.66	301
28	552	05284	SUB-DISTRICT	Nandyal	Urban	0	0	1	47,144	2,11,424	1,05,826	1,05,598	28.88	7,321
28	552	05285	SUB-DISTRICT	Mahanandi	Total	9	0	0	9,120	38,487	19,431	19,056	253.24	152
28	552	05285	SUB-DISTRICT	Mahanandi	Rural	9	0	0	9,120	38,487	19,431	19,056	253.24	152
28	552	05285	SUB-DISTRICT	Mahanandi	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05286	SUB-DISTRICT	Sirvel	Total	12	0	0	13,914	58,014	29,395	28,619	174.65	332
28	552	05286	SUB-DISTRICT	Sirvel	Rural	12	0	0	13,914	58,014	29,395	28,619	174.65	332
28	552	05286	SUB-DISTRICT	Sirvel	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05287	SUB-DISTRICT	Gospadu	Total	15	0	0	10,593	41,066	20,550	20,516	130.19	315
