DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,avg_lights_x_pct,avg_vis,censuscode,cf_cvg,stable_lights
Nandurbar,1,27,Maharashtra,3.119525454,5.591049042,497,67.29480468,3.120597895
Narayanpur,16,22,Chhattisgarh,0.11826118,4.261384516,415,62.27989097,0.117983367
Narmada,20,24,Gujarat,2.492111898,5.388006381,487,72.53560571,2.486869896
Narsimhapur,35,23,Madhya Pradesh,5.872234893,7.096522138,452,72.48028137,5.877568462
Nashik,20,27,Maharashtra,6.572227097,7.912287731,516,66.89140413,6.578778321
Navsari,23,24,Gujarat,8.506467095,9.020740125,490,76.59842641,8.507562693
Nawada,35,10,Bihar,0.896490837,4.725882061,237,65.57119171,0.899286633
Nayagarh,16,21,Odisha,2.047137202,4.782427826,385,55.43807272,2.05728475
Neemuch,15,23,Madhya Pradesh,3.568697442,6.152829589,432,73.90403531,3.570755323
New Delhi,5,7,NCT of Delhi,62.91387707,63,94,72.34602103,63
Nicobar,1,35,Andaman & Nicobar Island,0.351012843,3.953951537,638,56.09907195,0.352859623
Nizamabad,2,28,Andhra Pradesh,9.781090771,10.04156122,533,62.68424731,9.787539601
North,2,7,NCT of Delhi,62.0536209,62.1493537,91,70.95883281,62.1493537
North,1,11,Sikkim,0.20458981,3.827837257,241,72.69392592,0.204012843
North & Middle Andaman,2,35,Andaman & Nicobar Island,0.393119318,3.631034332,639,66.70580793,0.392524392
North 24 Parganas,11,19,West Bengal,10.30729973,11.85838,337,57.73598717,10.31047044
North East,3,7,NCT of Delhi,61.24942398,61.3597299,92,70.54332531,61.3597299
North Goa,1,30,Goa,17.03518438,17.30433628,585,75.50572285,17.02667713
North Tripura,4,16,Tripura,3.327697799,6.428222524,292,62.09409807,3.329202306
North West,1,7,NCT of Delhi,56.76250915,56.81023229,90,71.19984829,56.81023229
Nuapada,25,21,Odisha,0.584222134,4.895252078,394,66.50999265,0.583911281
Osmanabad,29,27,Maharashtra,5.253715824,5.891835074,525,64.95028792,5.266087884
Pakur,8,20,Jharkhand,1.419493014,5.307882172,353,67.24590004,1.419132934
Palakkad,6,32,Kerala,7.494859289,8.611634676,593,52.53688805,7.508763816
Palamu,13,20,Jharkhand,0.952644818,4.430251137,358,62.20639139,0.951593825
Pali,20,8,Rajasthan,3.040191419,5.970387128,118,71.52664475,3.047081944
Palwal,21,6,Haryana,15.58310718,15.58513878,89,72.81303059,15.57881318
Panch Mahals,17,24,Gujarat,5.553607644,7.035185565,484,71.10718038,5.551772011
Panchkula,1,6,Haryana,16.43573686,16.92892472,69,70.1561536,16.4302081
Panipat,7,6,Haryana,24.84003016,24.84378085,75,72.31702012,24.84378085
Panna,9,23,Madhya Pradesh,1.222021378,4.348971277,426,69.9921732,1.229194804
Papum Pare,4,12,Arunanchal Pradesh,1.139431059,4.518212894,248,68.2355784,1.140077849
Parbhani,17,27,Maharashtra,5.854606941,6.559158189,513,66.81520216,5.857238218
Pashchim Champaran,1,10,Bihar,1.385112448,5.16972728,203,73.42437038,1.381877111
Pashchim Medinipur,18,19,West Bengal,4.505601581,7.558473301,344,53.65366612,4.507744064
Pashchimi Singhbhum,23,20,Jharkhand,1.638199454,5.848424605,368,59.15064744,1.639004728
Patan,3,24,Gujarat,3.340133836,5.871029069,470,66.97277884,3.330747322
Pathanamthitta,12,32,Kerala,5.528587749,7.311560877,599,53.95898298,5.541371797
Patiala,14,3,Punjab,15.66141249,15.66864995,48,74.57790418,15.66864995
Patna,28,10,Bihar,9.513169863,11.0320267,230,67.63922563,9.509792385
Perambalur,14,33,Tamil Nadu,8.20194818,8.20688575,615,61.10964714,8.205572678
Peren,11,13,Nagaland,0.218835427,4.471019577,271,64.59231379,0.219044054
Phek,6,13,Nagaland,0.089250555,4.1168709,266,64.36242221,0.08887038
Pilibhit,20,9,Uttar Pradesh,1.331432969,5.606307571,151,75.63745323,1.332243893
Pithoragarh,7,5,Uttarakhand,0.755404969,4.095516633,62,69.81397249,0.754403935
Porbandar,11,24,Gujarat,6.639812391,7.296808064,478,72.36334267,6.623250274
Prakasam,18,28,Andhra Pradesh,5.226630599,6.651031982,549,68.36669765,5.24038862
Pratapgarh,33,8,Rajasthan,1.656866636,5.501566574,131,71.9234523,1.657538648
Pratapgarh,42,9,Uttar Pradesh,5.583018352,6.678163869,173,71.23037571,5.582901455
Puducherry,2,34,Puducherry,36.98730985,36.99887116,635,62.92060848,36.99887116
Pudukkottai,20,33,Tamil Nadu,8.098401858,8.116647102,621,61.29127559,8.106839729
Pulwama,12,1,Jammu & Kashmir,3.857318188,5.735626162,12,64.6164167,3.859714983
Punch,5,1,Jammu & Kashmir,2.50203333,4.665669441,5,67.10439091,2.498216209
Pune,25,27,Maharashtra,13.77943267,14.12625122,521,70.08930228,13.78643618
Purba Champaran,2,10,Bihar,1.739101232,5.130361918,204,72.86233491,1.731735095
Purba Medinipur,19,19,West Bengal,8.839916748,10.2075471,345,53.36548761,8.83981566
Purbi Singhbhum,12,20,Jharkhand,5.303239426,8.802490891,357,55.95748297,5.305879307
Puri,18,21,Odisha,4.260705714,5.884422012,387,59.11843406,4.271798765
Purnia,9,10,Bihar,3.153512677,6.018692461,211,70.37281854,3.14255079
Puruliya,14,19,West Bengal,2.551535799,6.456357685,340,56.83364015,2.551393974
Rae Bareli,27,9,Uttar Pradesh,3.528827279,6.562200784,158,72.89435591,3.532648826
Raichur,5,29,Karnataka,5.640348302,6.625496954,559,67.83416689,5.649276361
Raigarh,4,22,Chhattisgarh,6.502899197,8.512347688,403,57.99372501,6.505512584
Raigarh,24,27,Maharashtra,11.43829651,11.97590313,520,75.18018833,11.44775172
Raipur,11,22,Chhattisgarh,7.305041351,9.38078702,410,65.17305779,7.304751295
Raisen,29,23,Madhya Pradesh,2.516184613,5.65203239,446,73.72068246,2.515454086
Rajgarh,25,23,Madhya Pradesh,2.301210977,5.873181611,442,73.55126194,2.300023522
Rajkot,9,24,Gujarat,8.331931489,8.643013726,476,67.85055509,8.33164241
Rajnandgaon,9,22,Chhattisgarh,4.289456545,6.657893897,408,63.98386674,4.283438385
Rajouri,6,1,Jammu & Kashmir,2.302325897,4.780223498,6,65.33272093,2.305164299
Rajsamand,25,8,Rajasthan,6.613393969,8.367072469,123,72.28406711,6.6226393
Ramanagara,30,29,Karnataka,10.49020078,10.73190638,584,52.53277514,10.49411399
Ramanathapuram,25,33,Tamil Nadu,5.771897312,6.318198616,626,48.54563083,5.786601917
Ramban,17,1,Jammu & Kashmir,2.373660723,5.103066343,17,69.17588155,2.367945932
Ramgarh,16,20,Jharkhand,12.15566267,13.68356516,361,62.0116454,12.15728793
Rampur,5,9,Uttar Pradesh,6.478618316,7.810237492,136,75.66190727,6.471266053
Ranchi,19,20,Jharkhand,5.192056776,8.279203195,364,60.22194447,5.192033949
Rangareddy,6,28,Andhra Pradesh,18.58952275,18.62354222,537,65.44409193,18.59554925
Ratlam,17,23,Madhya Pradesh,2.275746319,6.459048294,434,71.69272925,2.278287989
Ratnagiri,32,27,Maharashtra,4.436856614,5.63179648,528,77.07907626,4.443927659
