,,,,,"C-11 POPULATION ATTENDING EDUCATIONAL INSTITUTION BY COMPLETED EDUCATION LEVEL, AGE AND SEX - 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,State,Distt.,Area Name,Total/,Age-group,Total population,,,Population ,,,Illiterates,,,Literates,,,Educational level,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,,Rural/,,,,,attending educational institution,,,,,,,,,Literate without,,,Below primary,,,Primary,,,Middle,,,Matric/Secondary,,,Higher Secondary/Intermediate,,,Non-technical diploma or,,,Technical diploma or certificate not,,,Graduate & above,,
,,,,Urban/,,,,,,,,,,,,,,education level,,,,,,,,,,,,,,,Pre-University/Senior secondary,,,certificate not equal to degree,,,equal to degree,,,,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3311,28,000,State - ANDHRA PRADESH,Total,12.0,1676007.0,859629.0,816378.0,1508240.0,783470.0,724770.0,17859.0,8510.0,9349.0,1490381.0,774960.0,715421.0,14332.0,8142.0,6190.0,116689.0,70539.0,46150.0,1116062.0,579551.0,536511.0,235952.0,112775.0,123177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Total,13.0,1585749.0,809422.0,776327.0,1409715.0,730329.0,679386.0,14309.0,6599.0,7710.0,1395406.0,723730.0,671676.0,12907.0,7336.0,5571.0,40333.0,24266.0,16067.0,643665.0,348362.0,295303.0,691696.0,340190.0,351506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Total,14.0,1613041.0,831446.0,781595.0,1368331.0,718162.0,650169.0,13495.0,6161.0,7334.0,1354836.0,712001.0,642835.0,12893.0,7281.0,5612.0,18856.0,10954.0,7902.0,256793.0,147722.0,109071.0,1059617.0,542404.0,517213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Total,15.0,1652368.0,861559.0,790809.0,1274703.0,680711.0,593992.0,13210.0,5888.0,7322.0,1261493.0,674823.0,586670.0,12514.0,7299.0,5215.0,13222.0,7343.0,5879.0,104964.0,61700.0,43264.0,507858.0,280696.0,227162.0,615606.0,313756.0,301850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Total,16.0,1576131.0,824000.0,752131.0,1123406.0,607309.0,516097.0,11852.0,5360.0,6492.0,1111554.0,601949.0,509605.0,12196.0,7179.0,5017.0,10495.0,5613.0,4882.0,52102.0,29664.0,22438.0,191807.0,113020.0,78787.0,835645.0,441330.0,394315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Total,17.0,1466112.0,780993.0,685119.0,966332.0,538391.0,427941.0,10213.0,4700.0,5513.0,956119.0,533691.0,422428.0,12107.0,7253.0,4854.0,8818.0,4711.0,4107.0,32908.0,17792.0,15116.0,67340.0,41395.0,25945.0,825730.0,457447.0,368283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Total,18.0,1877103.0,960859.0,916244.0,965601.0,551049.0,414552.0,11553.0,5240.0,6313.0,954048.0,545809.0,408239.0,14173.0,8534.0,5639.0,10074.0,5126.0,4948.0,33587.0,17923.0,15664.0,39245.0,23940.0,15305.0,108691.0,64527.0,44164.0,690808.0,385375.0,305433.0,5350.0,3778.0,1572.0,44460.0,32229.0,12231.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Total,19.0,1522033.0,768896.0,753137.0,731309.0,422912.0,308397.0,9011.0,4197.0,4814.0,722298.0,418715.0,303583.0,11874.0,7226.0,4648.0,8367.0,4222.0,4145.0,26818.0,13986.0,12832.0,20575.0,12142.0,8433.0,54286.0,31658.0,22628.0,551834.0,315050.0,236784.0,3802.0,2826.0,976.0,38970.0,28331.0,10639.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Total,20-24,8132094.0,4055697.0,4076397.0,2193268.0,1358018.0,835250.0,40941.0,17320.0,23621.0,2152327.0,1340698.0,811629.0,40765.0,26070.0,14695.0,27051.0,13157.0,13894.0,105802.0,54147.0,51655.0,53511.0,30516.0,22995.0,136801.0,79342.0,57459.0,865914.0,541372.0,324542.0,9976.0,7875.0,2101.0,106045.0,80806.0,25239.0,788773.0,496679.0,292094.0
C3311,28,000,State - ANDHRA PRADESH,Total,25-29,7799036.0,3809887.0,3989149.0,424129.0,279916.0,144213.0,38063.0,14559.0,23504.0,386066.0,265357.0,120709.0,8490.0,5425.0,3065.0,985.0,306.0,679.0,1427.0,674.0,753.0,446.0,248.0,198.0,1818.0,1046.0,772.0,60370.0,38606.0,21764.0,2571.0,1993.0,578.0,19662.0,16089.0,3573.0,286452.0,198546.0,87906.0
